# contract	scope	obligation	coverage	status	evidence
# Unsafe-boundary contracts for the raw extern "C" surfaces of the llev_* ABI
# and the interop resource consumer (FV obligation #9). These are the surfaces
# Verus cannot cross (extern callbacks, thread-locals, Box round-trips), so
# each carries an explicit contract row here plus dynamic coverage; the pure
# two-pass arena/fixup logic itself has a Verus home (wave W3,
# docs/verification/verus/ffi_batch_arena.rs). Column format mirrors
# libdictenstein/formal-verification/UNSAFE_CONTRACTS.tsv. Coverage tokens:
# tla, smt, correspondence, unit, miri, sanitizer, verus. Status: covered
# (all listed coverage exists and runs in a gate) or specified (contract
# stated; the named coverage lands with the noted wave).
ffi-boundary-panic-containment	src/ffi/index.rs boundary()	Every llev_* entry point routes through catch_unwind; no panic unwinds across the C ABI; a caught panic maps to LLEV_STATUS_PANIC with the thread-local message set and no other observable side effect.	unit,correspondence	covered	boundary() wraps all entry points (src/ffi/index.rs); tests/ffi_resource_snapshot_semantics.rs exercises status paths; wave-W3 fault-injection tests extend adversarial coverage
ffi-last-error-thread-locality	src/ffi/index.rs LAST_ERROR	The error message is thread-local, library-owned, NUL-sanitized, valid until the next failing call on the same thread, and never freed by the caller.	unit	covered	LAST_ERROR thread_local + set_last_error sanitization (src/ffi/index.rs); llev_last_error_message contract documented in include/liblevenshtein.h; per-language thread-locality checks land with the W7 contract suites (C3)
ffi-handle-box-round-trip	llev_transducer_new/free, cursor and phonetic handle pairs	Every handle crossing the ABI is Box::into_raw at construction and Box::from_raw exactly once at its paired free; free(NULL) is a no-op; llev_query_cursor_free with a live lease returns LLEV_STATUS_BATCH_IN_USE without freeing (ownership retained by the caller).	tla,correspondence	covered	LlevBatchLease.tla (free-under-lease action); tests/ffi_resource_snapshot_semantics.rs lease-enforcement tests; Miri leg over in-process FFI tests lands wave W3 (T6)
ffi-borrowed-resource-retain-validate-release	src/bindings.rs ResourceTransducer::from_resource	A borrowed VtResource is retained before validation; on any validation failure the retain is released before the error returns (no leak, no double-release); on success the retain is owned by the wrapper and released exactly once on drop.	tla,correspondence	covered	AbiResourceLifecycle.tla (ledger balance); tests/abi_resource_lifecycle_correspondence.rs teardown ledger; provider-side release counting via tests/support/interop_dictionary.rs MetricsProbe
ffi-callback-status-trust	every status-returning foreign callback	A foreign callback's status is untrusted input received as raw u32 and decoded before any enum-typed use: interop callbacks through VtStatus::from_raw at every consumer chokepoint, the batch reducer through LlevStatus::try_from — out-of-range values are rejected as provider/argument errors, never transmuted.	correspondence,unit	covered	LLEV-B6 fixed family-wide (llev e42485c, ldict 1aea856, lling 0a98513, duallity e84b2ac) + reducer twin LLEV-B16; interop wire_round_trip pin; W3 fault-provider tests exercise out-of-range statuses end-to-end
ffi-leased-batch-aliasing	src/ffi/index.rs descriptor arenas	While a batch lease is live, the cursor's descriptor array and term arenas are borrowed by the caller: the library neither mutates nor reallocates them until llev_query_cursor_release_batch with the exact live generation; descriptor pointers are fixed up only after all arena writes for the batch completed.	tla,verus,correspondence	covered	LlevBatchLease.tla (lease window, LLEV-LEASE-1..7); docs/verification/verus/ffi_batch_arena.rs proves the offset arithmetic that keeps the fixup in-bounds (LLEV-ARENA-1..3, 9 verified); tests/ffi_arena_stability.rs derefs every descriptor post-realloc
ffi-provider-callback-serialization	src/bindings.rs CallGate	Calls into one captured provider object are serialized unless the provider advertises PARALLEL_REENTRANT; the gate is released on every exit path including errors; the gate never serializes distinct objects or providers.	tla,correspondence	covered	LlevCallGate.tla; tests/abi_callgate_correspondence.rs (per-object and per-provider domain witnesses; error-path Rust form extends with the W3 fault provider)
ffi-query-owner-key-lifetime	src/bindings.rs ProviderRef and ForeignNode	Every non-owning provider and cache-entry pointer is constructed from the query-local Arc owner; append-only cache entries are never removed; QueryCursor drops its traversal before its provider field; immutable descriptor publication uses release/acquire synchronization. Therefore dereference and Send/Sync remain valid for every queued handle without per-edge Arc traffic.	unit,miri	covered	compact_foreign_handle_tests pins the two-word representation and independent query fault owners; binding_snapshot_semantics and ffi_resource_snapshot_semantics exercise cursors after source-owner drop; Miri covers the bindings-core unit tests
generated-state-canonical-borrow-lifetime	src/transducer/state.rs PositionStorage::BorrowedCanonical	A borrowed canonical position slice is immutable, owned by the same query's generated transition table, and never outlives that table; iterator field order drops every frontier first. Mixed unit-cost to affine use materializes the slice before clearing the table. This justifies dereference and Send/Sync without per-state Arc traffic.	unit,miri	covered	transition::tests::affine_transition_materializes_a_borrowed_unit_cost_frontier_before_reset plus all query-surface equivalence suites; Miri covers the transition unit tests
snapshot-cursor-union-and-owner-lifetime	src/transducer/dictionary_traversal.rs TraversalCursor and TraversalMode	The containing TraversalMode is the sole discriminant for TraversalCursorRepr: Owned and Graph cursors activate the dense member, Native activates the associated native member, and a cursor never crosses sessions. Graph storage is declared before its revision owner so backend-native value handles drop while their owner remains alive. Built-in native cursors retain strict provenance and never pass through an integer representation.	unit,miri	covered	dictionary_traversal::tests::session_selected_native_cursor_remains_one_machine_word pins layout; dictionary_traversal capture/value tests exercise all three modes and old-revision retention; focused Miri runs cover native and compact-graph paths
ffi-validated-scalar-unchecked-conversion	src/bindings.rs InteropUnit for char	from_u32_unchecked is reached only after the same cached edge label passed char::from_u32 during descriptor construction; descriptors are immutable after publication, so later fast-path conversion receives the validated scalar unchanged.	unit,miri	covered	ffi_provider_fault_injection rejects invalid scalar labels before cache publication; binding/resource query suites exercise cached Unicode traversal; Miri covers bindings-core tests
