project	source	trait	provider_translation	abi_capabilities	language	host_idioms	provider_surface_status	support_scope	evidence	next_required_work
llattice	src/lib.rs	Lattice	direct-capability-vtable	VtLatticeVTable	rust	traits; IntoIterator/Iterator; Result; Drop	complete	full-native-trait-surface	["llattice:src/lib.rs"]	-
llattice	src/lib.rs	Lattice	direct-capability-vtable	VtLatticeVTable	c	opaque handles; status codes; bounded buffers; vtables	complete	full-modeled-provider-surface	["vinary-tree-interop:include/vinary_tree_interop.h"]	-
llattice	src/lib.rs	Lattice	direct-capability-vtable	VtLatticeVTable	cpp	RAII; ranges/iterators; move-only handles; typed errors	complete	full-modeled-provider-surface	["vinary-tree-interop:include/vinary_tree/interop.hpp","vinary-tree-interop:tests/cpp/providers.cpp"]	-
llattice	src/lib.rs	Lattice	direct-capability-vtable	VtLatticeVTable	python	context managers; iterators/collections; exceptions; protocols	missing	-	-	implement-direct-capability-vtable
llattice	src/lib.rs	Lattice	direct-capability-vtable	VtLatticeVTable	java	AutoCloseable/try-with-resources; Collection/Map; Stream/Spliterator; interfaces	missing	-	-	implement-direct-capability-vtable
llattice	src/lib.rs	Lattice	direct-capability-vtable	VtLatticeVTable	kotlin	use; Iterable/Map; Sequence; SAM interfaces	missing	-	-	implement-direct-capability-vtable
llattice	src/lib.rs	Lattice	direct-capability-vtable	VtLatticeVTable	scala	Using/AutoCloseable; Iterable; Iterator; type classes	missing	-	-	implement-direct-capability-vtable
llattice	src/lib.rs	Lattice	direct-capability-vtable	VtLatticeVTable	clojure	Seqable; IReduceInit; Closeable; persistent values	missing	-	-	implement-direct-capability-vtable
llattice	src/lib.rs	Lattice	direct-capability-vtable	VtLatticeVTable	csharp	IDisposable/using; IEnumerable/IDictionary; exceptions; interfaces	complete	full-modeled-provider-surface	["vinary-tree-interop:bindings/dotnet/src/VinaryTree.Interop/LatticeProviders.cs","vinary-tree-interop:bindings/dotnet/tests/VinaryTree.Interop.ProviderTests/Program.cs"]	-
llattice	src/lib.rs	Lattice	direct-capability-vtable	VtLatticeVTable	fsharp	use/use!; seq; Result; object expressions; interfaces	complete	full-modeled-provider-surface	["vinary-tree-interop:bindings/dotnet/src/VinaryTree.Interop/LatticeProviders.cs","vinary-tree-interop:bindings/dotnet/tests/VinaryTree.Interop.FSharpProviders/Program.fs"]	-
