facade	kind	native_item	public_symbol	surface_status	source_evidence	source_status	guide	documentation_status	test_evidence	test_status	canonical_example	example_status	reason
c	function	llev_abi_version	llev_abi_version	exposed	["include/liblevenshtein.h","include/liblevenshtein_abi.h"]	complete	bindings/c/README.md	complete	["bindings/c/tests/cross_project_snapshot.c"]	complete	bindings/c/tests/cross_project_snapshot.c	complete	-
c	function	llev_api_revision	llev_api_revision	exposed	["include/liblevenshtein.h","include/liblevenshtein_abi.h"]	complete	bindings/c/README.md	complete	["bindings/c/tests/cross_project_snapshot.c"]	complete	bindings/c/tests/cross_project_snapshot.c	complete	-
c	function	llev_build_features	llev_build_features	exposed	["include/liblevenshtein.h","include/liblevenshtein_abi.h"]	complete	bindings/c/README.md	complete	["bindings/c/tests/cross_project_snapshot.c"]	complete	bindings/c/tests/cross_project_snapshot.c	complete	-
c	function	llev_last_error_message	llev_last_error_message	exposed	["include/liblevenshtein.h","include/liblevenshtein_abi.h"]	complete	bindings/c/README.md	complete	["bindings/c/tests/cross_project_snapshot.c"]	audit-required	bindings/c/tests/cross_project_snapshot.c	audit-required	-
c	function	llev_string_free	llev_string_free	exposed	["include/liblevenshtein.h","include/liblevenshtein_abi.h"]	complete	bindings/c/README.md	complete	["bindings/c/tests/cross_project_snapshot.c"]	audit-required	bindings/c/tests/cross_project_snapshot.c	audit-required	-
c	function	llev_string_array_free	llev_string_array_free	exposed	["include/liblevenshtein.h","include/liblevenshtein_abi.h"]	complete	bindings/c/README.md	complete	["bindings/c/tests/cross_project_snapshot.c"]	audit-required	bindings/c/tests/cross_project_snapshot.c	audit-required	-
c	function	llev_string_dup	llev_string_dup	exposed	["include/liblevenshtein.h","include/liblevenshtein_abi.h"]	complete	bindings/c/README.md	complete	["bindings/c/tests/cross_project_snapshot.c"]	audit-required	bindings/c/tests/cross_project_snapshot.c	audit-required	-
c	function	llev_distance	llev_distance	exposed	["include/liblevenshtein.h","include/liblevenshtein_abi.h"]	complete	bindings/c/README.md	complete	["bindings/c/tests/cross_project_snapshot.c"]	audit-required	bindings/c/tests/cross_project_snapshot.c	audit-required	-
c	function	llev_distance_threshold	llev_distance_threshold	exposed	["include/liblevenshtein.h","include/liblevenshtein_abi.h"]	complete	bindings/c/README.md	complete	["bindings/c/tests/cross_project_snapshot.c"]	audit-required	bindings/c/tests/cross_project_snapshot.c	audit-required	-
c	function	llev_damerau_distance	llev_damerau_distance	exposed	["include/liblevenshtein.h","include/liblevenshtein_abi.h"]	complete	bindings/c/README.md	complete	["bindings/c/tests/cross_project_snapshot.c"]	audit-required	bindings/c/tests/cross_project_snapshot.c	audit-required	-
c	function	llev_damerau_distance_threshold	llev_damerau_distance_threshold	exposed	["include/liblevenshtein.h","include/liblevenshtein_abi.h"]	complete	bindings/c/README.md	complete	["bindings/c/tests/cross_project_snapshot.c"]	audit-required	bindings/c/tests/cross_project_snapshot.c	audit-required	-
c	function	llev_true_damerau_distance	llev_true_damerau_distance	exposed	["include/liblevenshtein.h","include/liblevenshtein_abi.h"]	complete	bindings/c/README.md	complete	["bindings/c/tests/cross_project_snapshot.c"]	audit-required	bindings/c/tests/cross_project_snapshot.c	audit-required	-
c	function	llev_true_damerau_distance_threshold	llev_true_damerau_distance_threshold	exposed	["include/liblevenshtein.h","include/liblevenshtein_abi.h"]	complete	bindings/c/README.md	complete	["bindings/c/tests/cross_project_snapshot.c"]	audit-required	bindings/c/tests/cross_project_snapshot.c	audit-required	-
c	function	llev_transducer_new	llev_transducer_new	exposed	["include/liblevenshtein.h","include/liblevenshtein_abi.h"]	complete	bindings/c/README.md	complete	["bindings/c/tests/cross_project_snapshot.c"]	complete	bindings/c/tests/cross_project_snapshot.c	complete	-
c	function	llev_transducer_snapshot	llev_transducer_snapshot	exposed	["include/liblevenshtein.h","include/liblevenshtein_abi.h"]	complete	bindings/c/README.md	complete	["bindings/c/tests/cross_project_snapshot.c"]	audit-required	bindings/c/tests/cross_project_snapshot.c	audit-required	-
c	function	llev_transducer_free	llev_transducer_free	exposed	["include/liblevenshtein.h","include/liblevenshtein_abi.h"]	complete	bindings/c/README.md	complete	["bindings/c/tests/cross_project_snapshot.c"]	complete	bindings/c/tests/cross_project_snapshot.c	complete	-
c	function	llev_transducer_unit_domain	llev_transducer_unit_domain	exposed	["include/liblevenshtein.h","include/liblevenshtein_abi.h"]	complete	bindings/c/README.md	complete	["bindings/c/tests/cross_project_snapshot.c"]	complete	bindings/c/tests/cross_project_snapshot.c	complete	-
c	function	llev_transducer_query_utf8	llev_transducer_query_utf8	exposed	["include/liblevenshtein.h","include/liblevenshtein_abi.h"]	complete	bindings/c/README.md	complete	["bindings/c/tests/cross_project_snapshot.c"]	complete	bindings/c/tests/cross_project_snapshot.c	complete	-
c	function	llev_transducer_query_bytes	llev_transducer_query_bytes	exposed	["include/liblevenshtein.h","include/liblevenshtein_abi.h"]	complete	bindings/c/README.md	complete	["bindings/c/tests/cross_project_snapshot.c"]	audit-required	bindings/c/tests/cross_project_snapshot.c	audit-required	-
c	function	llev_transducer_query_u64	llev_transducer_query_u64	exposed	["include/liblevenshtein.h","include/liblevenshtein_abi.h"]	complete	bindings/c/README.md	complete	["bindings/c/tests/cross_project_snapshot.c"]	audit-required	bindings/c/tests/cross_project_snapshot.c	audit-required	-
c	function	llev_query_cursor_next_batch	llev_query_cursor_next_batch	exposed	["include/liblevenshtein.h","include/liblevenshtein_abi.h"]	complete	bindings/c/README.md	complete	["bindings/c/tests/cross_project_snapshot.c"]	complete	bindings/c/tests/cross_project_snapshot.c	complete	-
c	function	llev_query_cursor_release_batch	llev_query_cursor_release_batch	exposed	["include/liblevenshtein.h","include/liblevenshtein_abi.h"]	complete	bindings/c/README.md	complete	["bindings/c/tests/cross_project_snapshot.c"]	complete	bindings/c/tests/cross_project_snapshot.c	complete	-
c	function	llev_query_cursor_reduce	llev_query_cursor_reduce	exposed	["include/liblevenshtein.h","include/liblevenshtein_abi.h"]	complete	bindings/c/README.md	complete	["bindings/c/tests/cross_project_snapshot.c"]	audit-required	bindings/c/tests/cross_project_snapshot.c	audit-required	-
c	function	llev_query_cursor_free	llev_query_cursor_free	exposed	["include/liblevenshtein.h","include/liblevenshtein_abi.h"]	complete	bindings/c/README.md	complete	["bindings/c/tests/cross_project_snapshot.c"]	complete	bindings/c/tests/cross_project_snapshot.c	complete	-
c	function	llev_owned_string_free	llev_owned_string_free	exposed	["include/liblevenshtein.h","include/liblevenshtein_abi.h"]	complete	bindings/c/README.md	complete	["bindings/c/tests/cross_project_snapshot.c"]	audit-required	bindings/c/tests/cross_project_snapshot.c	audit-required	-
c	function	llev_phonetic_pattern_compile_regex	llev_phonetic_pattern_compile_regex	exposed	["include/liblevenshtein.h","include/liblevenshtein_abi.h"]	complete	bindings/c/README.md	complete	["bindings/c/tests/cross_project_snapshot.c"]	audit-required	bindings/c/tests/cross_project_snapshot.c	audit-required	-
c	function	llev_phonetic_pattern_compile_llre	llev_phonetic_pattern_compile_llre	exposed	["include/liblevenshtein.h","include/liblevenshtein_abi.h"]	complete	bindings/c/README.md	complete	["bindings/c/tests/cross_project_snapshot.c"]	audit-required	bindings/c/tests/cross_project_snapshot.c	audit-required	-
c	function	llev_phonetic_pattern_free	llev_phonetic_pattern_free	exposed	["include/liblevenshtein.h","include/liblevenshtein_abi.h"]	complete	bindings/c/README.md	complete	["bindings/c/tests/cross_project_snapshot.c"]	audit-required	bindings/c/tests/cross_project_snapshot.c	audit-required	-
c	function	llev_phonetic_pattern_size	llev_phonetic_pattern_size	exposed	["include/liblevenshtein.h","include/liblevenshtein_abi.h"]	complete	bindings/c/README.md	complete	["bindings/c/tests/cross_project_snapshot.c"]	audit-required	bindings/c/tests/cross_project_snapshot.c	audit-required	-
c	function	llev_phonetic_pattern_matches	llev_phonetic_pattern_matches	exposed	["include/liblevenshtein.h","include/liblevenshtein_abi.h"]	complete	bindings/c/README.md	complete	["bindings/c/tests/cross_project_snapshot.c"]	audit-required	bindings/c/tests/cross_project_snapshot.c	audit-required	-
c	function	llev_transducer_query_pattern	llev_transducer_query_pattern	exposed	["include/liblevenshtein.h","include/liblevenshtein_abi.h"]	complete	bindings/c/README.md	complete	["bindings/c/tests/cross_project_snapshot.c"]	audit-required	bindings/c/tests/cross_project_snapshot.c	audit-required	-
c	function	llev_phonetic_rules_parse	llev_phonetic_rules_parse	exposed	["include/liblevenshtein.h","include/liblevenshtein_abi.h"]	complete	bindings/c/README.md	complete	["bindings/c/tests/cross_project_snapshot.c"]	audit-required	bindings/c/tests/cross_project_snapshot.c	audit-required	-
c	function	llev_phonetic_rules_builtin	llev_phonetic_rules_builtin	exposed	["include/liblevenshtein.h","include/liblevenshtein_abi.h"]	complete	bindings/c/README.md	complete	["bindings/c/tests/cross_project_snapshot.c"]	audit-required	bindings/c/tests/cross_project_snapshot.c	audit-required	-
c	function	llev_phonetic_rules_free	llev_phonetic_rules_free	exposed	["include/liblevenshtein.h","include/liblevenshtein_abi.h"]	complete	bindings/c/README.md	complete	["bindings/c/tests/cross_project_snapshot.c"]	audit-required	bindings/c/tests/cross_project_snapshot.c	audit-required	-
c	function	llev_phonetic_rules_len	llev_phonetic_rules_len	exposed	["include/liblevenshtein.h","include/liblevenshtein_abi.h"]	complete	bindings/c/README.md	complete	["bindings/c/tests/cross_project_snapshot.c"]	audit-required	bindings/c/tests/cross_project_snapshot.c	audit-required	-
c	function	llev_phonetic_rules_apply	llev_phonetic_rules_apply	exposed	["include/liblevenshtein.h","include/liblevenshtein_abi.h"]	complete	bindings/c/README.md	complete	["bindings/c/tests/cross_project_snapshot.c"]	audit-required	bindings/c/tests/cross_project_snapshot.c	audit-required	-
c	enum	enum:status	LlevStatus	exposed	["include/liblevenshtein.h","include/liblevenshtein_abi.h"]	complete	bindings/c/README.md	complete	["bindings/c/tests/cross_project_snapshot.c"]	complete	bindings/c/tests/cross_project_snapshot.c	complete	-
c	enum	enum:algorithm	LlevAlgorithm	exposed	["include/liblevenshtein.h","include/liblevenshtein_abi.h"]	complete	bindings/c/README.md	complete	["bindings/c/tests/cross_project_snapshot.c"]	complete	bindings/c/tests/cross_project_snapshot.c	complete	-
c	enum	enum:queryOrder	LlevQueryOrder	exposed	["include/liblevenshtein.h","include/liblevenshtein_abi.h"]	complete	bindings/c/README.md	complete	["bindings/c/tests/cross_project_snapshot.c"]	complete	bindings/c/tests/cross_project_snapshot.c	complete	-
c	enum	enum:phoneticRuleSetKind	LlevPhoneticRuleSetKind	exposed	["include/liblevenshtein.h","include/liblevenshtein_abi.h"]	complete	bindings/c/README.md	complete	["bindings/c/tests/cross_project_snapshot.c"]	audit-required	bindings/c/tests/cross_project_snapshot.c	audit-required	-
c	protocol	protocol:iterator	llev_query_cursor_next_batch	exposed	["include/liblevenshtein.h","include/liblevenshtein_abi.h"]	complete	bindings/c/README.md	complete	["bindings/c/tests/cross_project_snapshot.c"]	complete	bindings/c/tests/cross_project_snapshot.c	complete	-
c	protocol	protocol:reducer	llev_query_cursor_reduce	exposed	["include/liblevenshtein.h","include/liblevenshtein_abi.h"]	complete	bindings/c/README.md	complete	["bindings/c/tests/cross_project_snapshot.c"]	audit-required	bindings/c/tests/cross_project_snapshot.c	audit-required	-
