# ABI layout manifest for the vinary-tree interop resource ABI (wave W1, FV obligation #7).
#
# Single source of truth read by both docs/verification/smt/abi_layout.smt2
# (self-consistency proof, dual-solver) and tests/abi_layout_correspondence.rs
# (live-compiler and SMT-mirror agreement). The compiler side is pinned
# independently by vinary-tree-interop/tests/layout_contract.rs and
# vinary-tree-interop/tests/discriminant_pins.rs; every number here must
# byte-agree with those pins, which derive from vinary-tree-interop/src/lib.rs.
#
# Targets:
#   64    - required LP64 tier (x86_64/aarch64): pointers, usize, and fn pointers
#           are 8 bytes; u64/f64 align to 8.
#   32arm - 32-bit ARM EABI (AAPCS) tier, CI leg linux-armv7-experimental:
#           pointers, usize, and fn pointers are 4 bytes; u64/f64 align to 8.
#
# Row semantics:
#   kind=struct, member=<field>  - offset/size columns are the field's byte
#                                  offset and width on each target.
#   kind=struct, member=__size   - size columns carry the struct's total size;
#                                  offset columns are '-'.
#   kind=struct, member=__align  - size columns carry the struct's alignment;
#                                  offset columns are '-'.
#   kind=enum                    - value is the u32 discriminant (repr(u32)).
#   kind=flag                    - value is the u64 bit value (power of two).
#   kind=const                   - value is the published constant; for the two
#                                  interface identifiers it is the exact 16-byte
#                                  ASCII string (no NUL terminator).
#   '-'                          - column not applicable to this row kind.
#
# kind	type	member	offset64	size64	offset32arm	size32arm	value	notes
struct	VtInterfaceId	bytes	0	16	0	16	-	[u8; 16]; identifier bytes compared byte-for-byte
struct	VtInterfaceId	__size	-	16	-	16	-	total size in bytes per target
struct	VtInterfaceId	__align	-	1	-	1	-	alignment in bytes per target
struct	VtResource	context	0	8	0	4	-	*mut c_void; provider-defined resource context
struct	VtResource	vtable	8	8	4	4	-	*const VtResourceVTable; base resource vtable
struct	VtResource	__size	-	16	-	8	-	total size in bytes per target
struct	VtResource	__align	-	8	-	4	-	alignment in bytes per target
struct	VtResourceVTable	struct_size	0	8	0	4	-	usize; struct size in bytes for additive ABI evolution
struct	VtResourceVTable	abi_version	8	4	4	4	-	u32; must equal VT_ABI_VERSION
struct	VtResourceVTable	reserved	12	4	8	4	-	u32; reserved, must be zero
struct	VtResourceVTable	retain	16	8	12	4	-	Option<unsafe extern C fn>; add one owned retain (null niche)
struct	VtResourceVTable	release	24	8	16	4	-	Option<unsafe extern C fn>; release one owned retain (null niche)
struct	VtResourceVTable	query_interface	32	8	20	4	-	Option<unsafe extern C fn>; versioned interface discovery (null niche)
struct	VtResourceVTable	__size	-	40	-	24	-	total size in bytes per target
struct	VtResourceVTable	__align	-	8	-	4	-	alignment in bytes per target
struct	VtOptionalU64	value	0	8	0	8	-	u64; payload, meaningful only when has_value is one
